Polling firm,Date,T-Days,PC,Wildrose,Liberal,NDP,Alberta,Sample size
Forum Research,"May 4, 2015",-1,23.0,23.0,4.0,45.0,3.0,1067
Insights West,"May 4, 2015",-1,23.0,27.0,4.0,42.0,3.0,999
EKOS Research Associates,"May 3, 2015",-2,22.5,24.0,5.6,44.3,2.2,830
Forum Research,"May 2, 2015",-3,21.0,24.0,5.0,42.0,5.0,1067
Mainstreet Research,"April 29, 2015",-6,21.0,26.0,5.0,44.0,3.0,2806
Ipsos-Reid,"April 29, 2015",-6,24.0,26.0,9.0,37.0,3.0,571
EKOS Research Associates,"April 29, 2015",-6,23.1,21.3,6.3,42.2,4.6,701
ThinkHQ,"April 28, 2015",-7,20.0,27.0,9.0,39.0,4.0,2177
Leger Marketing,"April 28, 2015",-7,30.0,24.0,6.0,38.0,1.0,1225
Return On Insight,"April 28, 2015",-7,24.0,21.0,10.0,38.0,4.0,741
Mainstreet Research,"April 23, 2015",-12,26.0,32.0,8.0,31.0,4.0,4325
Forum Research,"April 23, 2015",-12,20.0,25.0,7.0,38.0,6.0,1067
Mainstreet Research,"April 20, 2015",-15,25.0,35.0,4.0,31.0,4.0,3031
Mainstreet Research,"April 13, 2015",-22,24.0,31.0,10.0,30.0,5.0,3100
Forum Research,"April 9, 2015",-26,27.0,30.0,12.0,28.0,2.0,2400
Mainstreet Research,"April 7, 2015",-28,27.0,31.0,12.0,26.0,3.0,3031
ThinkHQ,"April 6, 2015",-29,25.0,31.0,12.0,26.0,5.0,1815
Insights West,"March 30, 2015",-36,31.0,27.0,14.0,22.0,2.0,631
Mainstreet Research,"March 29, 2015",-37,30.0,30.0,17.0,18.0,5.0,2964
