Polling firm,Date,T-Days,L/NP,ALP,GRN,ONP,UAP,OTH,UND,2PPL/NP,2PPALP,Sample size
Essential,16 May 2022,-5,36.0,35.0,9.0,4.0,3.0,6.0,7.0,46.0,48.0,1600
Ipsos,7 May 2022,-14,29.0,35.0,12.0,4.0,3.0,10.0,7.0,43.0,57.0,2311
Essential,30 Apr 2022,-21,36.0,35.0,10.0,3.0,4.0,5.0,6.0,45.0,49.0,1500
Ipsos,23 Apr 2022,-28,32.0,34.0,12.0,4.0,3.0,8.0,8.0,45.0,55.0,2302
Essential,20 Apr 2022,-31,37.0,35.0,9.0,3.0,4.0,5.0,7.0,46.0,47.0,1052
Essential,2 Apr 2022,-49,37.0,36.0,10.0,4.0,3.0,5.0,5.0,45.0,50.0,1086
Ipsos,2 Apr 2022,-49,31.0,35.0,10.0,4.0,2.0,8.0,7.0,42.0,51.0,2563
Essential,16 May 2022,-5,36.0,35.0,9.0,4.0,3.0,6.0,7.0,46.0,48.0,1600
Essential,6 Mar 2022,-76,36.0,35.0,10.0,3.0,3.0,4.0,7.0,44.0,49.0,1093
Essential,20 Feb 2022,-90,35.0,38.0,9.0,5.0,3.0,4.0,6.0,45.0,49.0,1089
Essential,6 Feb 2022,-104,37.0,35.0,9.0,4.0,2.0,5.0,8.0,46.0,47.0,1069
