Polling firm,Date,T-Days,PC,NDP,Liberal,Green,Sample size
Forum Research,"Oct 2, 2023",-1,41.3,44.7,12.3,0.9,910
Research Co.,"Oct 2, 2023",-1,39.0,48.0,10.0,2.0,600
Mainstreet Research,"Oct 1, 2023",-2,41.0,47.0,10.0,1.0,698
Sovereign North Strategies,"Sep 19, 2023",-14,42.5,39.4,15.9,2.2,852
Angus Reid,"Sep 19, 2023",-14,41.0,47.0,9.0,2.0,990
Probe Research,"Sep 18, 2023",-15,38.0,49.0,9.0,2.0,1000
Research Co.,"Sep 17, 2023",-16,39.0,41.0,14.0,3.0,600
Counsel Public Affairs,"Sep 16, 2023",-17,39.0,44.0,13.0,2.0,505
Mainstreet Research,"Sep 2, 2023",-31,43.0,42.0,9.0,3.0,601
Mainstreet Research,"Jul 28, 2023",-67,42.0,38.0,12.0,3.0,597
Probe Research,"Jun 13, 2023",-112,41.0,41.0,10.0,5.0,1000
Angus Reid,"Jun 3, 2023",-122,39.0,44.0,10.0,4.0,515
Probe Research,"Mar 20, 2023",-197,38.0,44.0,9.0,4.0,1000
Mainstreet Research,"Jan 26, 2023",-250,36.2,41.5,14.6,5.1,514
Probe Research,"Dec 5, 2022",-302,35.0,46.0,13.0,3.0,1000
Probe Research,"Sep 18, 2022",-380,37.0,44.0,15.0,3.0,1000
Angus Reid,"Jun 13, 2022",-477,38.0,40.0,13.0,3.0,468
Probe Research,"Jun 12, 2022",-478,35.0,45.0,13.0,3.0,1000
Probe Research,"Mar 21, 2022",-561,34.0,44.0,15.0,2.0,1000
Angus Reid,"Mar 15, 2022",-567,39.0,40.0,14.0,3.0,475
Angus Reid,"Jan 12, 2022",-629,36.0,42.0,12.0,3.0,407
Probe Research,"Dec 5, 2021",-667,37.0,42.0,12.0,4.0,1000
Innovative Research,"Oct 5, 2021",-728,41.0,32.0,18.0,5.0,678
Angus Reid,"Oct 3, 2021",-730,38.0,43.0,11.0,4.0,435
Probe Research,"Sep 20, 2021",-743,35.0,42.0,12.0,3.0,1000
Probe Research,"Jun 11, 2021",-844,29.0,47.0,14.0,5.0,1000
Angus Reid,"Jun 7, 2021",-848,39.0,42.0,11.0,4.0,504
Probe Research,"Mar 26, 2021",-921,36.0,42.0,11.0,7.0,1000
Probe Research,"Dec 4, 2020",-1033,37.0,41.0,14.0,6.0,1000
Angus Reid,"Nov 30, 2020",-1037,39.0,40.0,12.0,5.0,420
Probe Research,"Sep 17, 2020",-1111,43.0,34.0,16.0,5.0,1000
EKOS,"Aug 26, 2020",-1133,44.0,31.0,12.0,9.0,1154
EKOS,"Jul 23, 2020",-1167,43.0,27.0,18.0,7.0,1691
Probe Research,"Jun 11, 2020",-1209,38.0,36.0,18.0,7.0,1000
Innovative Research,"Jun 3, 2020",-1217,38.0,26.0,26.0,10.0,200
Probe Research,"Mar 24, 2020",-1288,43.0,33.0,14.0,8.0,1000
Probe Research,"Dec 10, 2019",-1393,42.0,36.0,13.0,8.0,1000
