Polling firm,Date,T-Days,CAQ,PLQ,PQ,QS,PCQ,Sample size
Forum,"October 2, 2022",-1,36.8,15.4,17.2,14.3,14.4,981
Research Co.,"October 2, 2022",-1,41.0,16.0,12.0,14.0,16.0,708
Mainstreet,"October 2, 2022",-1,41.4,14.8,14.0,12.0,16.7,1508
Mainstreet,"October 1, 2022",-2,41.7,14.9,13.1,11.6,17.8,1445
Mainstreet,"September 30, 2022",-3,41.3,15.4,12.8,11.2,18.4,1463
Léger,"September 30, 2022",-3,38.0,17.0,15.0,15.0,14.0,950
Mainstreet,"September 29, 2022",-4,40.3,17.7,12.9,12.5,14.9,1516
Mainstreet,"September 28, 2022",-5,40.3,15.7,11.9,13.5,16.4,1523
Mainstreet,"September 27, 2022",-6,39.1,16.8,12.4,12.8,16.5,1533
Mainstreet,"September 26, 2022",-7,42.1,16.0,10.7,11.3,17.3,1555
Léger,"September 25, 2022",-8,37.0,16.0,15.0,17.0,15.0,1023
Mainstreet,"September 25, 2022",-8,41.8,16.5,10.0,9.9,18.7,1529
Mainstreet,"September 24, 2022",-9,43.5,15.5,7.8,11.0,19.1,1209
Mainstreet,"September 23, 2022",-10,38.8,16.8,9.4,14.1,19.3,1114
EKOS,"September 23, 2022",-10,34.6,14.3,14.9,20.6,12.3,589
Angus Reid,"September 22, 2022",-11,34.0,16.0,12.0,16.0,19.0,1221
Mainstreet,"September 22, 2022",-11,39.2,15.4,9.7,14.4,19.2,1192
Research Co.,"September 21, 2022",-12,40.0,17.0,10.0,14.0,18.0,700
Mainstreet,"September 21, 2022",-12,39.3,15.1,10.3,14.2,18.3,1472
Mainstreet,"September 20, 2022",-13,39.2,14.3,10.6,14.0,19.0,1467
Segma,"September 20, 2022",-13,40.0,14.0,14.0,16.0,14.0,1080
Mainstreet,"September 19, 2022",-14,38.7,15.6,9.9,12.9,19.8,1538
Léger,"September 18, 2022",-15,38.0,16.0,13.0,16.0,16.0,1046
Mainstreet,"September 18, 2022",-15,39.5,16.5,9.9,11.9,19.7,1538
Mainstreet,"September 17, 2022",-16,41.8,17.7,8.1,11.2,17.8,1846
Mainstreet,"September 16, 2022",-17,41.0,17.5,8.1,11.0,18.7,1641
Mainstreet,"September 15, 2022",-18,42.4,17.6,7.0,10.8,18.3,1523
Mainstreet,"September 14, 2022",-19,41.8,17.3,7.4,10.8,18.9,1530
Mainstreet,"September 13, 2022",-20,41.4,17.8,7.5,10.5,19.3,1529
Léger,"September 12, 2022",-21,38.0,18.0,11.0,17.0,15.0,3100
Mainstreet,"September 12, 2022",-21,43.0,17.6,7.1,10.6,18.5,1525
Mainstreet,"September 11, 2022",-22,40.8,18.4,8.0,10.9,18.5,1499
Mainstreet,"September 10, 2022",-23,40.9,17.6,7.5,10.6,19.7,1489
Mainstreet,"September 9, 2022",-24,40.6,18.1,8.8,9.7,19.2,1500
Mainstreet,"September 8, 2022",-25,38.3,18.4,9.2,10.4,19.2,1534
Mainstreet,"September 7, 2022",-26,37.5,18.1,10.2,11.4,18.6,1548
Mainstreet,"September 6, 2022",-27,37.9,17.6,11.4,11.0,17.5,1569
Mainstreet,"September 5, 2022",-28,37.6,18.4,10.6,12.0,16.3,1537
Mainstreet,"September 4, 2022",-29,38.5,18.1,10.5,11.8,17.5,1511
Mainstreet,"September 3, 2022",-30,37.5,18.3,9.4,12.5,18.3,1497
Mainstreet,"September 2, 2022",-31,37.4,18.1,7.6,12.8,20.3,1462
Mainstreet,"September 1, 2022",-32,38.2,17.6,7.5,13.4,19.9,1417
Mainstreet,"August 31, 2022",-33,38.9,19.7,6.6,13.3,16.8,1210
Mainstreet,"August 30, 2022",-34,40.9,17.7,6.9,12.0,18.2,1676
Mainstreet,"August 29, 2022",-35,40.4,18.7,7.8,11.6,17.7,1386
Mainstreet,"August 28, 2022",-36,38.1,17.4,7.0,12.1,21.5,1067
Léger,"August 26, 2022",-38,42.0,17.0,9.0,15.0,14.0,1000
Léger,"July 31, 2022",-64,44.0,18.0,10.0,15.0,13.0,985
Léger,"June 22, 2022",-103,41.0,18.0,9.0,14.0,15.0,1019
Angus Reid,"June 13, 2022",-112,35.0,18.0,10.0,14.0,19.0,1211
Mainstreet,"June 10, 2022",-115,39.9,20.8,8.3,12.3,16.6,1404
Léger,"May 22, 2022",-134,46.0,18.0,8.0,13.0,14.0,1019
Léger,"April 17, 2022",-169,44.0,17.0,9.0,15.0,13.0,1020
Synopsis Recherche,"March 17, 2022",-200,44.0,15.0,8.0,15.0,16.0,1000
Angus Reid,"March 15, 2022",-202,33.0,19.0,9.0,16.0,19.0,761
Mainstreet,"March 15, 2022",-202,36.2,16.1,6.8,17.3,23.6,1200
Léger,"March 6, 2022",-211,41.0,18.0,10.0,14.0,14.0,1017
Léger,"February 13, 2022",-232,41.0,20.0,11.0,12.0,14.0,1017
Léger,"January 16, 2022",-260,42.0,20.0,11.0,14.0,11.0,1032
Angus Reid,"January 12, 2022",-264,37.0,20.0,12.0,16.0,9.0,760
Mainstreet,"January 8, 2022",-268,38.0,20.0,10.0,19.0,13.0,1024
Léger,"November 28, 2021",-309,46.0,20.0,13.0,13.0,5.0,1024
Angus Reid,"October 3, 2021",-365,37.0,21.0,10.0,15.0,11.0,716
Léger,"September 29, 2021",-369,47.0,20.0,11.0,11.0,8.0,1008
Synopsis Recherche,"August 30, 2021",-399,49.0,16.0,9.0,14.0,9.0,1500
Angus Reid,"June 8, 2021",-482,41.0,21.0,11.0,14.0,8.0,679
Leger,"May 1, 2021",-520,46.0,20.0,12.0,14.0,6.0,1015
